Approved Symbol	Approved Name	Previous Symbols	Synonyms	Entrez Gene ID (mapped data supplied by NCBI)	UniProt ID (mapped data supplied by UniProt)
NPIPL1	nuclear pore complex interacting protein-like 1		LOC440350	440350	O75200
NPIPL2	nuclear pore complex interacting protein-like 2		LOC440348	440348	A6NHN6
NPIPL3	nuclear pore complex interacting protein-like 3		KIAA0220	23117	Q92617
NPIPP1	nuclear pore complex interacting protein pseudogene 1			100874381	
NPL	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	C1orf13	NPL1, DHDPS1	80896	Q9BXD5
NPLOC4	nuclear protein localization 4 homolog (S. cerevisiae)		NPL4, FLJ20657, KIAA1499	55666	Q8TAT6
NPM1	nucleophosmin (nucleolar phosphoprotein B23, numatrin)		B23, NPM	4869	P06748
NPM1P1	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 1	NPMP1	NG1-1.6	4870	
NPM1P2	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 2	NPMP2	NG2-6	4871	
NPM1P3	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 3	NPMP3, NPM1P15	NG3-3	4872	
NPM1P4	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 4	NPMP4	NG4-5	100128903	
NPM1P5	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 5	NPMP5	NG5-4	4874	
NPM1P6	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 6	NPMP6	NG6-4	4875	
NPM1P7	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 7	NPMP7, NPM1P16	NG7-6	10831	
NPM1P8	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 8			100130233	
NPM1P9	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 9			392428	
NPM1P10	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 10			10837	
NPM1P11	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 11			10836	
NPM1P12	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 12			10835	
NPM1P13	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 13			10834	
NPM1P14	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 14			10833	
NPM1P17	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 17			10830	
NPM1P18	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 18			10829	
NPM1P19	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 19			10828	
NPM1P20	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 20			326608	
NPM1P21	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 21			100129237	
NPM1P22	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 22			390411	
NPM1P23	nucleophosmin 1 (nucleolar phosphoprotein B23, numatrin) pseudogene 23			100422256	
NPM2	nucleophosmin/nucleoplasmin 2			10361	Q86SE8
NPM3	nucleophosmin/nucleoplasmin 3			10360	O75607
NPNT	nephronectin		EGFL6L, POEM	255743	Q6UXI9
NPPA	natriuretic peptide A	ANP, PND		4878	P01160
NPPA-AS1	NPPA antisense RNA 1	NPPAAS, NPPA-AS		100379251	
NPPB	natriuretic peptide B			4879	P16860
NPPC	natriuretic peptide C		CNP	4880	P23582
NPR1	natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)	ANPRA, NPRA	GUCY2A, ANPa	4881	P16066
NPR2	natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)	ANPRB, NPRB, AMDM	GUCY2B, ANPb	4882	P20594
NPR3	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C)	NPRC, ANPRC, C5orf23	GUCY2B, FLJ14054	4883	P17342
NPRL2	nitrogen permease regulator-like 2 (S. cerevisiae)	TUSC4	NPR2L, NPR2	10641	Q8WTW4
NPRL3	nitrogen permease regulator-like 3 (S. cerevisiae)	C16orf35	CGTHBA, RMD11, NPR3, MARE, HS-40	8131	Q12980
NPS	neuropeptide S			594857	P0C0P6
NPSR1	neuropeptide S receptor 1	GPR154	PGR14, GPRA	387129	Q6W5P4
NPSR1-AS1	NPSR1 antisense RNA 1		AAA1, IMAGE:4827585	404744	
NPTN	neuroplastin	SDFR1	SDR1, GP55, GP65, np65, np55	27020	Q9Y639
NPTX1	neuronal pentraxin I			4884	Q15818
NPTX2	neuronal pentraxin II			4885	P47972
NPTXR	neuronal pentraxin receptor			23467	O95502
NPVF	neuropeptide VF precursor	C7orf9	RFRP	64111	Q9HCQ7
NPW	neuropeptide W		PPL8	283869	Q8N729
NPY	neuropeptide Y		PYY4	4852	P01303
NPY1R	neuropeptide Y receptor Y1	NPYR		4886	P25929
NPY2R	neuropeptide Y receptor Y2			4887	P49146
NPY5R	neuropeptide Y receptor Y5		NPYR5	4889	Q15761
NPY6R	neuropeptide Y receptor Y6 (pseudogene)		PP2, NPY1RL	4888	Q99463
NQO1	NAD(P)H dehydrogenase, quinone 1	NMOR1, DIA4	DHQU, QR1, DTD	1728	P15559
NQO2	NAD(P)H dehydrogenase, quinone 2	NMOR2	QR2, DHQV, DIA6	4835	P16083
NR1D1	nuclear receptor subfamily 1, group D, member 1	THRAL	ear-1, hRev, Rev-ErbAalpha, THRA1	9572	P20393
NR1D2	nuclear receptor subfamily 1, group D, member 2		BD73, RVR, EAR-1r, HZF2, Hs.37288	9975	Q14995
NR1H2	nuclear receptor subfamily 1, group H, member 2	UNR	NER, NER-I, RIP15, LXR-b	7376	P55055
NR1H3	nuclear receptor subfamily 1, group H, member 3		LXR-a, RLD-1	10062	Q13133
NR1H4	nuclear receptor subfamily 1, group H, member 4		FXR, RIP14, HRR1, HRR-1	9971	Q96RI1
NR1H5P	nuclear receptor subfamily 1, group H, member 5, pseudogene		Fxrb, NR1H5	643609	
NR1I2	nuclear receptor subfamily 1, group I, member 2		ONR1, PXR, BXR, SXR, PAR2	8856	O75469
NR1I3	nuclear receptor subfamily 1, group I, member 3		MB67, CAR1, CAR	9970	Q14994
NR1I4	nuclear receptor subfamily 1, group I, member 4		CAR2	22817	
NR2C1	nuclear receptor subfamily 2, group C, member 1	TR2	TR2-11	7181	P13056
NR2C2	nuclear receptor subfamily 2, group C, member 2	TR4	TAK1, TR2R1, hTAK1	7182	P49116
NR2C2AP	nuclear receptor 2C2-associated protein		TRA16	126382	Q86WQ0
NR2E1	nuclear receptor subfamily 2, group E, member 1	TLX	TLL, XTLL	7101	Q9Y466
NR2E3	nuclear receptor subfamily 2, group E, member 3		PNR, rd7, RP37	10002	Q9Y5X4
NR2F1	nuclear receptor subfamily 2, group F, member 1	ERBAL3, TFCOUP1	EAR-3, COUP-TFI, TCFCOUP1, SVP44	7025	P10589
NR2F2	nuclear receptor subfamily 2, group F, member 2	ARP1, TFCOUP2	COUP-TFII, COUPTFB, SVP40, NF-E3	7026	P24468
NR2F2-AS1	NR2F2 antisense RNA 1			644192	
NR2F6	nuclear receptor subfamily 2, group F, member 6	ERBAL2	EAR-2	2063	P10588
NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	GRL	GR	2908	P04150
NR3C1P1	nuclear receptor subfamily 3, group C, member 1 pseudogene 1	GRLL1, NR3C1P		2910	
NR3C2	nuclear receptor subfamily 3, group C, member 2	MLR	MR	4306	P08235
NR4A1	nuclear receptor subfamily 4, group A, member 1	HMR, GFRP1	TR3, N10, NAK-1, NGFIB, NUR77	3164	P22736
NR4A2	nuclear receptor subfamily 4, group A, member 2	NURR1	TINUR, NOT, RNR1, HZF-3	4929	P43354
NR4A3	nuclear receptor subfamily 4, group A, member 3		CSMF, CHN, NOR1, MINOR	8013	Q92570
NR5A1	nuclear receptor subfamily 5, group A, member 1	FTZF1	FTZ1, SF-1, ELP, AD4BP	2516	Q13285
NR5A2	nuclear receptor subfamily 5, group A, member 2	FTF	FTZ-F1beta, hB1F, LRH-1, FTZ-F1, hB1F-2, B1F2	2494	O00482
NR6A1	nuclear receptor subfamily 6, group A, member 1	GCNF	GCNF1, RTR	2649	Q15406
NRADDP	neurotrophin receptor associated death domain, pseudogene			100129354	
NRAP	nebulin-related anchoring protein			4892	Q86VF7
NRARP	NOTCH-regulated ankyrin repeat protein		MGC61598	441478	Q7Z6K4
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog		N-ras	4893	P01111
NR0B1	nuclear receptor subfamily 0, group B, member 1	AHC, DSS	DAX1, AHCH	190	P51843
NR0B2	nuclear receptor subfamily 0, group B, member 2		SHP	8431	Q15466
NRBF2	nuclear receptor binding factor 2		DKFZp564C1664, FLJ30395, COPR1, COPR2	29982	Q96F24
NRBF2P1	nuclear receptor binding factor 2 pseudogene 1			648532	
NRBF2P2	nuclear receptor binding factor 2 pseudogene 2			100114903	
NRBF2P3	nuclear receptor binding factor 2 pseudogene 3			643232	
NRBF2P4	nuclear receptor binding factor 2 pseudogene 4			728381	
NRBF2P5	nuclear receptor binding factor 2 pseudogene 5			100118954	
NRBP1	nuclear receptor binding protein 1	NRBP	BCON3, MUDPNP, MADM	29959	Q9UHY1
NRBP2	nuclear receptor binding protein 2		DKFZp434P086	340371	Q9NSY0
NRCAM	neuronal cell adhesion molecule		KIAA0343, Bravo	4897	Q92823
NRD1	nardilysin (N-arginine dibasic convertase)		hNRD1, hNRD2	4898	O43847
NRDE2	NRDE-2, necessary for RNA interference, domain containing	C14orf102	FLJ14051	55051	Q9H7Z3
NREP	neuronal regeneration related protein	C5orf13	P311, D4S114, PRO1873, PTZ17, SEZ17	9315	Q16612
NREP-AS1	NREP antisense RNA 1			100873948	
NRF1	nuclear respiratory factor 1		EWG, ALPHA-PAL	4899	Q16656
NRG1	neuregulin 1	HGL	HRG, NDF, GGF	3084	Q02297
NRG1-IT1	NRG1 intronic transcript 1 (non-protein coding)			100856811	
NRG1-IT2	NRG1 intronic transcript 2 (non-protein coding)			100874285	
NRG1-IT3	NRG1 intronic transcript 3 (non-protein coding)			100874286	
NRG2	neuregulin 2		Don-1, NTAK, HRG2	9542	O14511
NRG3	neuregulin 3			10718	P56975
NRG3-AS1	NRG3 antisense RNA 1	C10orf100	Em:AC010157.1	414242	
NRG4	neuregulin 4		HRG4	145957	Q8WWG1
NRGN	neurogranin (protein kinase C substrate, RC3)		RC3	4900	Q92686
NRIP1	nuclear receptor interacting protein 1		RIP140	8204	P48552
NRIP2	nuclear receptor interacting protein 2		DKFZP761G1913	83714	Q9BQI9
NRIP3	nuclear receptor interacting protein 3	C11orf14		56675	Q9NQ35
NRK	Nik related kinase		DKFZp686A17109	203447	Q7Z2Y5
NRL	neural retina leucine zipper		D14S46E, RP27, NRL-MAF	4901	P54845
NRM	nurim (nuclear envelope membrane protein)		NRM29	11270	Q8IXM6
NRN1	neuritin 1		NRN	51299	Q9NPD7
NRN1L	neuritin 1-like		UNQ2446, MRCC2446	123904	Q496H8
NRON	non-protein coding RNA, repressor of NFAT		NCRNA00194	641373	
NRP1	neuropilin 1		NRP, VEGF165R, CD304	8829	O14786
NRP2	neuropilin 2		VEGF165R2	8828	O60462
NRSN1	neurensin 1	VMP	p24	140767	Q8IZ57
NRSN2	neurensin 2	C20orf98	dJ1103G7.6	80023	Q9GZP1
NRTN	neurturin		NTN	4902	Q99748
NRXN1	neurexin 1		KIAA0578, Hs.22998	9378	P58400
NRXN2	neurexin 2			9379	P58401
NRXN3	neurexin 3	C14orf60	KIAA0743	9369	Q9HDB5
NSA2	NSA2 ribosome biogenesis homolog (S. cerevisiae)		HUSSY-29, HCLG1, FLJ94393, TINP1	10412	O95478
NSD1	nuclear receptor binding SET domain protein 1	STO	ARA267, FLJ22263, KMT3B	64324	Q96L73
NSDHL	NAD(P) dependent steroid dehydrogenase-like		XAP104, H105e3, SDR31E1	50814	Q15738
NSF	N-ethylmaleimide-sensitive factor		SKD2	4905	P46459
NSFL1C	NSFL1 (p97) cofactor (p47)		dJ776F14.1, p47, UBXD10, UBX1, UBXN2C	55968	Q9UNZ2
NSFP1	N-ethylmaleimide-sensitive factor pseudogene 1	NSFP		728806	
NSL1	NSL1, MIND kinetochore complex component, homolog (S. cerevisiae)	C1orf48	DC8, DKFZP566O1646, MIS14	25936	Q96IY1
NSMAF	neutral sphingomyelinase (N-SMase) activation associated factor		FAN	8439	Q92636
NSMCE1	non-SMC element 1 homolog (S. cerevisiae)		NSE1	197370	Q8WV22
NSMCE2	non-SMC element 2, MMS21 homolog (S. cerevisiae)	C8orf36	FLJ32440, MMS21, NSE2	286053	Q96MF7
NSMCE4A	non-SMC element 4 homolog A (S. cerevisiae)	C10orf86	FLJ20003, bA500G22.3, NSE4A	54780	Q9NXX6
NSRP1	nuclear speckle splicing regulatory protein 1	CCDC55	DKFZP434K1421, NSrp70	84081	Q9H0G5
NSRP1P1	nuclear speckle splicing regulatory protein 1 pseudogene 1	CCDC55P1		100420557	
NSUN2	NOP2/Sun RNA methyltransferase family, member 2		FLJ20303, TRM4, Misu	54888	Q08J23
NSUN3	NOP2/Sun domain family, member 3		FLJ22609	63899	Q9H649
NSUN4	NOP2/Sun domain family, member 4		MGC22960, SHTAP	387338	Q96CB9
NSUN5	NOP2/Sun domain family, member 5	WBSCR20, WBSCR20A	NOL1R, p120, (NOL1), FLJ10267, NSUN5A, Ynl022cL	55695	Q96P11
NSUN5P1	NOP2/Sun domain family, member 5 pseudogene 1	NSUN5B	WBSCR20B	155400	Q3KNT7
NSUN5P2	NOP2/Sun domain family, member 5 pseudogene 2	NSUN5C	WBSCR20C, MGC15057, FLJ11626, DKFZp434K058, NOL1R2, WBSCR20B	260294	Q63ZY6
NSUN6	NOP2/Sun domain family, member 6	NOPD1	FLJ23743	221078	Q8TEA1
NSUN7	NOP2/Sun domain family, member 7		FLJ14001	79730	Q8NE18
NSX	N syndrome (mental retardation, malformations, chromosome breakage)			4906	
NT3	3'-nucleotidase			4877	
NT5C	5', 3'-nucleotidase, cytosolic	UMPH2	DNT1, DNT-1, PN-I, cdN, dNT-1	30833	Q8TCD5
NT5C1A	5'-nucleotidase, cytosolic IA		CN-I, CN-IA, CN1A, CN1, MGC119199, MGC119201	84618	Q9BXI3
NT5C1B	5'-nucleotidase, cytosolic IB		AIRP, CN-IB	93034	Q96P26
NT5C1B-RDH14	NT5C1B-RDH14 readthrough			100526794	
NT5C2	5'-nucleotidase, cytosolic II	NT5B	PNT5, GMP, cN-II	22978	P49902
NT5C3	5'-nucleotidase, cytosolic III		UMPH1, PSN1, PN-I, UMPH, P5'N-1, cN-III	51251	Q9H0P0
NT5C3L	5'-nucleotidase, cytosolic III-like		MGC20781	115024	Q969T7
NT5C3P1	5'-nucleotidase, cytosolic III pseudogene 1		UMPH1P	90859	
NT5CP1	5',3'-nucleotidase, cytosolic pseudogene 1			326609	
NT5CP2	5',3'-nucleotidase, cytosolic pseudogene 2			326611	
NT5CP3	5',3'-nucleotidase, cytosolic pseudogene 3			100420457	
NT5DC1	5'-nucleotidase domain containing 1	NT5C2L1	dJ486I3.1, MGC24302	221294	Q5TFE4
NT5DC2	5'-nucleotidase domain containing 2		FLJ12442	64943	Q9H857
NT5DC3	5'-nucleotidase domain containing 3		TU12B1-TY, FLJ11266	51559	Q86UY8
NT5DC4	5'-nucleotidase domain containing 4			284958	Q86YG4
NT5E	5'-nucleotidase, ecto (CD73)	NT5	CD73, eN, eNT	4907	P21589
NT5M	5',3'-nucleotidase, mitochondrial		dNT-2, dNT2, mdN	56953	Q9NPB1
NTAN1	N-terminal asparagine amidase			123803	Q96AB6
NTF3	neurotrophin 3		NGF2	4908	P20783
NTF4	neurotrophin 4	NTF5	NT-4/5, GLC1O	4909	P34130
NTF6A	neurotrophin 6 alpha (pseudogene)	NTF6	PSI-NT4, NTF5P	4910	
NTF6B	neurotrophin 6 beta (pseudogene)			4911	
NTF6G	neurotrophin 6 gamma (pseudogene)			4912	
NTHL1	nth endonuclease III-like 1 (E. coli)		NTH1, OCTS3	4913	P78549
NTM	neurotrimin		HNT, NTRI, IGLON2	50863	Q9P121
NTM-IT1	NTM intronic transcript 1 (non-protein coding)			100874279	
NTM-IT2	NTM intronic transcript 2 (non-protein coding)			100874280	
NTM-IT3	NTM intronic transcript 3 (non-protein coding)			100874281	
NTMT1	N-terminal Xaa-Pro-Lys N-methyltransferase 1	C9orf32, METTL11A	AD-003, HOMT1A	28989	Q9BV86
NTN1	netrin 1		NTN1L	9423	O95631
NTN3	netrin 3	NTN2L		4917	O00634
NTN4	netrin 4			59277	Q9HB63
NTN5	netrin 5			126147	Q8WTR8
NTNG1	netrin G1		KIAA0976, Lmnt1	22854	Q9Y2I2
NTNG2	netrin G2	NTNG1	KIAA1857, Lmnt2	84628	Q96CW9
NTPCR	nucleoside-triphosphatase, cancer-related	C1orf57	MGC13186, HCR-NTPase	84284	Q9BSD7
NTRK1	neurotrophic tyrosine kinase, receptor, type 1		TRK, TRKA, MTC	4914	P04629
NTRK2	neurotrophic tyrosine kinase, receptor, type 2		TRKB	4915	Q16620
NTRK3	neurotrophic tyrosine kinase, receptor, type 3		TRKC	4916	Q16288
NTRK3-AS1	NTRK3 antisense RNA 1			283738	
NTS	neurotensin			4922	P30990
NTSR1	neurotensin receptor 1 (high affinity)		NTR	4923	P30989
NTSR2	neurotensin receptor 2		NTR2	23620	O95665
NUAK1	NUAK family, SNF1-like kinase, 1		ARK5, KIAA0537, NuaK1	9891	O60285
NUAK2	NUAK family, SNF1-like kinase, 2		SNARK, FLJ90349	81788	Q9H093
NUB1	negative regulator of ubiquitin-like proteins 1		BS4, NYREN18	51667	Q9Y5A7
NUBP1	nucleotide binding protein 1	NBP1		4682	P53384
NUBP2	nucleotide binding protein 2		CFD1	10101	Q9Y5Y2
NUBPL	nucleotide binding protein-like	C14orf127	FLJ12660, IND1, huInd1	80224	Q8TB37
NUCB1	nucleobindin 1		NUC, Calnuc	4924	Q02818
NUCB1-AS1	NUCB1 antisense RNA 1			100874085	
NUCB2	nucleobindin 2		NEFA	4925	P80303
NUCKS1	nuclear casein kinase and cyclin-dependent kinase substrate 1		NUCKS	64710	Q9H1E3
NUDC	nuclear distribution C homolog (A. nidulans)		NudC	10726	Q9Y266
NUDCD1	NudC domain containing 1		CML66, FLJ14991	84955	Q96RS6
NUDCD2	NudC domain containing 2		DKFZp686E10109	134492	Q8WVJ2
NUDCD3	NudC domain containing 3		KIAA1068	23386	Q8IVD9
NUDCP1	nuclear distribution gene C homolog (A. nidulans) pseudogene 1			10790	
NUDCP2	nuclear distribution gene C homolog (A. nidulans) pseudogene 2			10789	
NUDT1	nudix (nucleoside diphosphate linked moiety X)-type motif 1	MTH1		4521	P36639
NUDT2	nudix (nucleoside diphosphate linked moiety X)-type motif 2	APAH1		318	P50583
NUDT3	nudix (nucleoside diphosphate linked moiety X)-type motif 3		DIPP	11165	O95989
NUDT4	nudix (nucleoside diphosphate linked moiety X)-type motif 4		DIPP2, HDCMB47P, KIAA0487, DIPP2alpha, DIPP2beta	11163	Q9NZJ9
NUDT4P1	nudix (nucleoside diphosphate linked moiety X)-type motif 4 pseudogene 1			440672	
NUDT5	nudix (nucleoside diphosphate linked moiety X)-type motif 5		hYSAH1, YSA1H	11164	Q9UKK9
NUDT6	nudix (nucleoside diphosphate linked moiety X)-type motif 6		gfg-1, gfg, FGF2AS, FGF-AS	11162	P53370
NUDT7	nudix (nucleoside diphosphate linked moiety X)-type motif 7			283927	P0C024
NUDT8	nudix (nucleoside diphosphate linked moiety X)-type motif 8		FLJ41567	254552	Q8WV74
NUDT9	nudix (nucleoside diphosphate linked moiety X)-type motif 9		MGC3037	53343	Q9BW91
NUDT9P1	nudix (nucleoside diphosphate linked moiety X)-type motif 9 pseudogene 1	C10orf98	MGC34007, bA56M3.1	119369	
NUDT10	nudix (nucleoside diphosphate linked moiety X)-type motif 10		DIPP3a, hDIPP3alpha	170685	Q8NFP7
NUDT11	nudix (nucleoside diphosphate linked moiety X)-type motif 11		DIPP3b, FLJ10628, hDIPP3beta	55190	Q96G61
NUDT12	nudix (nucleoside diphosphate linked moiety X)-type motif 12		DKFZP761I172	83594	Q9BQG2
NUDT13	nudix (nucleoside diphosphate linked moiety X)-type motif 13		DKFZp586P2219	25961	Q86X67
NUDT14	nudix (nucleoside diphosphate linked moiety X)-type motif 14		UGPP	256281	O95848
NUDT15	nudix (nucleoside diphosphate linked moiety X)-type motif 15		MTH2, FLJ10956	55270	Q9NV35
NUDT15P1	nudix (nucleoside diphosphate linked moiety X)-type motif 15 pseudogene 1			574532	
NUDT15P2	nudix (nucleoside diphosphate linked moiety X)-type motif 15 pseudogene 2			574533	
NUDT16	nudix (nucleoside diphosphate linked moiety X)-type motif 16		FLJ31265	131870	Q96DE0
NUDT16L1	nudix (nucleoside diphosphate linked moiety X)-type motif 16-like 1		SDOS	84309	Q9BRJ7
NUDT16P1	nudix (nucleoside diphosphate linked moiety X)-type motif 16 pseudogene 1	NUDT16P	FLJ20525	152195	
NUDT17	nudix (nucleoside diphosphate linked moiety X)-type motif 17		FLJ34433	200035	P0C025
NUDT18	nudix (nucleoside diphosphate linked moiety X)-type motif 18		FLJ22494, MTH3	79873	Q6ZVK8
NUDT19	nudix (nucleoside diphosphate linked moiety X)-type motif 19		RP2	390916	A8MXV4
NUDT19P1	nudix (nucleoside diphosphate linked moiety X)-type motif 19 pseudogene 1			100126008	
NUDT19P2	nudix (nucleoside diphosphate linked moiety X)-type motif 19 pseudogene 2			100422458	
NUDT19P3	nudix (nucleoside diphosphate linked moiety X)-type motif 19 pseudogene 3			100422450	
NUDT19P4	nudix (nucleoside diphosphate linked moiety X)-type motif 19 pseudogene 4			100422452	
NUDT19P5	nudix (nucleoside diphosphate linked moiety X)-type motif 19 pseudogene 5			100422445	
NUDT21	nudix (nucleoside diphosphate linked moiety X)-type motif 21	CPSF5	CFIM25	11051	O43809
NUDT21P1	nudix (nucleoside diphosphate linked moiety X)-type motif 21 pseudogene 1			100422467	
NUDT22	nudix (nucleoside diphosphate linked moiety X)-type motif 22		MGC13045	84304	Q9BRQ3
NUF2	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)	CDCA1	NUF2R, CT106	83540	Q9BZD4
NUFIP1	nuclear fragile X mental retardation protein interacting protein 1		NUFIP	26747	Q9UHK0
NUFIP1P	nuclear fragile X mental retardation protein interacting protein 1 pseudogene			89761	
NUFIP2	nuclear fragile X mental retardation protein interacting protein 2		KIAA1321, MGC117262, PIG1, 182-FIP, FIP-82, 82-FIP	57532	Q7Z417
NUGGC	nuclear GTPase, germinal center associated	C8orf80	HMFN0672, SLIP-GC	389643	Q68CJ6
NUMA1	nuclear mitotic apparatus protein 1			4926	Q14980
NUMB	numb homolog (Drosophila)	C14orf41		8650	P49757
NUMBL	numb homolog (Drosophila)-like		NUMB-R, CTG3a, CAG3A, TNRC23, NUMBR, NUMBLIKE	9253	Q9Y6R0
NUP35	nucleoporin 35kDa		MP44	129401	Q8NFH5
NUP37	nucleoporin 37kDa		MGC5585, FLJ22618	79023	Q8NFH4
NUP43	nucleoporin 43kDa		bA350J20.1, FLJ13287	348995	Q8NFH3
NUP50	nucleoporin 50kDa	NPAP60L		10762	Q9UKX7
NUP50P1	nucleoporin 50 pseudogene 1	NUP50P		145375	
NUP50P2	nucleoporin 50 pseudogene 2			266785	
NUP50P3	nucleoporin 50 pseudogene 3			266786	
NUP54	nucleoporin 54kDa			53371	Q7Z3B4
NUP62	nucleoporin 62kDa		p62, DKFZp547L134, IBSN, SNDI, MGC841, FLJ20822, FLJ43869	23636	P37198
NUP62CL	nucleoporin 62kDa C-terminal like		FLJ20130	54830	Q9H1M0
NUP85	nucleoporin 85kDa		NUP75, FLJ12549	79902	Q9BW27
NUP88	nucleoporin 88kDa		MGC8530	4927	Q99567
NUP93	nucleoporin 93kDa		KIAA0095	9688	Q8N1F7
NUP98	nucleoporin 98kDa		NUP96	4928	P52948
NUP107	nucleoporin 107kDa		NUP84	57122	P57740
NUP133	nucleoporin 133kDa		FLJ10814	55746	Q8WUM0
NUP153	nucleoporin 153kDa		HNUP153	9972	P49790
NUP155	nucleoporin 155kDa		KIAA0791, N155	9631	O75694
NUP160	nucleoporin 160kDa		KIAA0197, FLJ22583	23279	Q12769
NUP188	nucleoporin 188kDa	KIAA0169		23511	Q5SRE5
NUP205	nucleoporin 205kDa	C7orf14	KIAA0225	23165	Q92621
NUP210	nucleoporin 210kDa		GP210, POM210, FLJ22389, KIAA0906	23225	Q8TEM1
NUP210L	nucleoporin 210kDa-like			91181	Q5VU65
NUP210P1	nucleoporin 210kDa pseudogene 1	C3orf46		255330	
NUP210P2	nucleoporin 210kDa pseudogene 2			100129929	
NUP210P3	nucleoporin 210kDa pseudogene 3			100419070	
NUP214	nucleoporin 214kDa		CAIN, CAN, D9S46E, N214	8021	P35658
NUPL1	nucleoporin like 1		KIAA0410	9818	Q9BVL2
NUPL1P1	nucleoporin like 1 pseudogene 1			100289295	
NUPL2	nucleoporin like 2		NLP_1, CG1, hCG1, H_RG271G13.9	11097	O15504
NUPR1	nuclear protein, transcriptional regulator, 1		COM1, p8	26471	O60356
NUPR1L	nuclear protein, transcriptional regulator, 1-like			389493	A6NF83
NUS1	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)	C6orf68	MGC7199	116150	Q96E22
NUS1P1	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae) pseudogene 1			729148	
NUS1P2	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae) pseudogene 2			646208	
NUS1P3	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae) pseudogene 3		YDD19	11049	
NUS1P4	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae) pseudogene 4			100130167	
NUSAP1	nucleolar and spindle associated protein 1		FLJ13421, LNP, ANKT, NuSAP1, SAPL, BM037, PRO0310p1, Q0310	51203	Q9BXS6
NUTF2	nuclear transport factor 2		NTF2, PP15	10204	P61970
NUTF2P2	nuclear transport factor 2 pseudogene 2			326613	
NVL	nuclear VCP-like			4931	O15381
NWD1	NACHT and WD repeat domain containing 1			284434	Q149M9
NXF1	nuclear RNA export factor 1		TAP, Mex67, DKFZp667O0311	10482	Q9UBU9
NXF2	nuclear RNA export factor 2		CT39, TAPL-2	56001	Q9GZY0
NXF2B	nuclear RNA export factor 2B		bA353J17.1	728343	Q9GZY0
NXF3	nuclear RNA export factor 3			56000	Q9H4D5
NXF4	nuclear RNA export factor 4 pseudogene			55999	
NXF5	nuclear RNA export factor 5			55998	Q9H1B4
NXN	nucleoredoxin		FLJ12614, NRX	64359	Q6DKJ4
NXNL1	nucleoredoxin-like 1	TXNL6	RDCVF	115861	Q96CM4
NXNL2	nucleoredoxin-like 2	C9orf121		158046	Q5VZ03
NXPE1	neurexophilin and PC-esterase domain family, member 1	FAM55A	MGC34290	120400	Q8N323
NXPE2	neurexophilin and PC-esterase domain family, member 2	FAM55B	FLJ25224	120406	Q96DL1
NXPE2P1	neurexophilin and PC-esterase domain family, member 2 pseudogene 1				
NXPE3	neurexophilin and PC-esterase domain family, member 3	FAM55C	MGC15606	91775	Q969Y0
NXPE4	neurexophilin and PC-esterase domain family, member 4	C11orf33, FAM55D	FLJ20127	54827	Q6UWF7
NXPH1	neurexophilin 1			30010	P58417
NXPH2	neurexophilin 2		NPH2	11249	O95156
NXPH3	neurexophilin 3		NPH3	11248	O95157
NXPH4	neurexophilin 4		NPH4	11247	O95158
NXT1	NTF2-like export factor 1		P15, MTR2	29107	Q9UKK6
